run_name,mean_voltage_difference_integral_vs,std_voltage_difference_integral_vs,min_voltage_difference_integral_vs,max_voltage_difference_integral_vs,valid_trial_count,trial_indices_used,trial_integrals_vs,st_1_frequency_name,st_1_frequency_hz,st_2_frequency_name,st_2_frequency_hz,st_3_frequency_name,st_3_frequency_hz,st_4_frequency_name,st_4_frequency_hz,frequency_st1_hz,frequency_st2_hz,frequency_st3_hz
st1_1_hz__st2_1_hz__st3_1_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,1_hz,1,1_hz,1,1,1,1
st1_1_hz__st2_1_hz__st3_31_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,31_hz,31,1_hz,1,1,1,31
st1_1_hz__st2_1_hz__st3_61_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,61_hz,61,1_hz,1,1,1,61
st1_1_hz__st2_1_hz__st3_91_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,91_hz,91,1_hz,1,1,1,91
st1_1_hz__st2_1_hz__st3_121_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,121_hz,121,1_hz,1,1,1,121
st1_1_hz__st2_1_hz__st3_151_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,151_hz,151,1_hz,1,1,1,151
st1_1_hz__st2_1_hz__st3_181_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,181_hz,181,1_hz,1,1,1,181
st1_1_hz__st2_1_hz__st3_211_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,211_hz,211,1_hz,1,1,1,211
st1_1_hz__st2_1_hz__st3_241_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,241_hz,241,1_hz,1,1,1,241
st1_1_hz__st2_1_hz__st3_271_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,271_hz,271,1_hz,1,1,1,271
st1_1_hz__st2_1_hz__st3_301_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,301_hz,301,1_hz,1,1,1,301
st1_1_hz__st2_1_hz__st3_331_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,331_hz,331,1_hz,1,1,1,331
st1_1_hz__st2_1_hz__st3_361_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,361_hz,361,1_hz,1,1,1,361
st1_1_hz__st2_1_hz__st3_391_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,391_hz,391,1_hz,1,1,1,391
st1_1_hz__st2_1_hz__st3_421_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,421_hz,421,1_hz,1,1,1,421
st1_1_hz__st2_1_hz__st3_451_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,451_hz,451,1_hz,1,1,1,451
st1_1_hz__st2_1_hz__st3_481_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,481_hz,481,1_hz,1,1,1,481
st1_1_hz__st2_1_hz__st3_511_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,511_hz,511,1_hz,1,1,1,511
st1_1_hz__st2_1_hz__st3_541_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,541_hz,541,1_hz,1,1,1,541
st1_1_hz__st2_1_hz__st3_571_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,1_hz,1,571_hz,571,1_hz,1,1,1,571
st1_1_hz__st2_31_hz__st3_1_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,1_hz,1,1_hz,1,1,31,1
st1_1_hz__st2_31_hz__st3_31_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,31_hz,31,1_hz,1,1,31,31
st1_1_hz__st2_31_hz__st3_61_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,61_hz,61,1_hz,1,1,31,61
st1_1_hz__st2_31_hz__st3_91_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,91_hz,91,1_hz,1,1,31,91
st1_1_hz__st2_31_hz__st3_121_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,121_hz,121,1_hz,1,1,31,121
st1_1_hz__st2_31_hz__st3_151_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,151_hz,151,1_hz,1,1,31,151
st1_1_hz__st2_31_hz__st3_181_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,181_hz,181,1_hz,1,1,31,181
st1_1_hz__st2_31_hz__st3_211_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,211_hz,211,1_hz,1,1,31,211
st1_1_hz__st2_31_hz__st3_241_hz__st4_1_hz,3.2106748319993273e-07,6.421349663998655e-07,0.0,1.6053374159996636e-06,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.605337416000e-06;0.000000000000e+00,1_hz,1,31_hz,31,241_hz,241,1_hz,1,1,31,241
st1_1_hz__st2_31_hz__st3_271_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,271_hz,271,1_hz,1,1,31,271
st1_1_hz__st2_31_hz__st3_301_hz__st4_1_hz,3.231713519991075e-06,6.46342703998215e-06,0.0,1.6158567599955376e-05,5,1;2;3;4;5,1.615856759996e-05;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,301_hz,301,1_hz,1,1,31,301
st1_1_hz__st2_31_hz__st3_331_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,331_hz,331,1_hz,1,1,31,331
st1_1_hz__st2_31_hz__st3_361_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,361_hz,361,1_hz,1,1,31,361
st1_1_hz__st2_31_hz__st3_391_hz__st4_1_hz,1.5103818216022358e-06,3.0207636432044715e-06,0.0,7.551909108011179e-06,5,1;2;3;4;5,0.000000000000e+00;7.551909108011e-06;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,391_hz,391,1_hz,1,1,31,391
st1_1_hz__st2_31_hz__st3_421_hz__st4_1_hz,6.200001698389579e-06,9.629896294013613e-06,0.0,2.4864147432006322e-05,5,1;2;3;4;5,0.000000000000e+00;2.486414743201e-05;6.135861059942e-06;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,421_hz,421,1_hz,1,1,31,421
st1_1_hz__st2_31_hz__st3_451_hz__st4_1_hz,2.450306195994623e-06,4.599505804658615e-06,0.0,1.163699333999735e-05,5,1;2;3;4;5,6.145376399758e-07;0.000000000000e+00;0.000000000000e+00;1.163699334000e-05;0.000000000000e+00,1_hz,1,31_hz,31,451_hz,451,1_hz,1,1,31,451
st1_1_hz__st2_31_hz__st3_481_hz__st4_1_hz,2.4101349119953765e-06,4.820269823990753e-06,0.0,1.2050674559976882e-05,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;1.205067455998e-05;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,481_hz,481,1_hz,1,1,31,481
st1_1_hz__st2_31_hz__st3_511_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,511_hz,511,1_hz,1,1,31,511
st1_1_hz__st2_31_hz__st3_541_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,541_hz,541,1_hz,1,1,31,541
st1_1_hz__st2_31_hz__st3_571_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,31_hz,31,571_hz,571,1_hz,1,1,31,571
st1_1_hz__st2_61_hz__st3_1_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,1_hz,1,1_hz,1,1,61,1
st1_1_hz__st2_61_hz__st3_31_hz__st4_1_hz,5.0796025127866635e-06,6.5898876192494515e-06,0.0,1.613523833993158e-05,5,1;2;3;4;5,0.000000000000e+00;1.613523833993e-05;0.000000000000e+00;0.000000000000e+00;9.262774224002e-06,1_hz,1,61_hz,61,31_hz,31,1_hz,1,1,61,31
st1_1_hz__st2_61_hz__st3_61_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,61_hz,61,1_hz,1,1,61,61
st1_1_hz__st2_61_hz__st3_91_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,91_hz,91,1_hz,1,1,61,91
st1_1_hz__st2_61_hz__st3_121_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,121_hz,121,1_hz,1,1,61,121
st1_1_hz__st2_61_hz__st3_151_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,151_hz,151,1_hz,1,1,61,151
st1_1_hz__st2_61_hz__st3_181_hz__st4_1_hz,1.8749597184004874e-06,3.7499194368009748e-06,0.0,9.374798592002436e-06,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;9.374798592002e-06,1_hz,1,61_hz,61,181_hz,181,1_hz,1,1,61,181
st1_1_hz__st2_61_hz__st3_211_hz__st4_1_hz,5.369695092002358e-06,6.814945802109922e-06,0.0,1.6249590900002665e-05,5,1;2;3;4;5,0.000000000000e+00;1.624959090000e-05;0.000000000000e+00;1.059888456001e-05;0.000000000000e+00,1_hz,1,61_hz,61,211_hz,211,1_hz,1,1,61,211
st1_1_hz__st2_61_hz__st3_241_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,241_hz,241,1_hz,1,1,61,241
st1_1_hz__st2_61_hz__st3_271_hz__st4_1_hz,9.199592474390811e-06,1.1050524603953047e-05,0.0,2.938347840601985e-05,5,1;2;3;4;5,1.232741838600e-05;0.000000000000e+00;0.000000000000e+00;4.287065579933e-06;2.938347840602e-05,1_hz,1,61_hz,61,271_hz,271,1_hz,1,1,61,271
st1_1_hz__st2_61_hz__st3_301_hz__st4_1_hz,5.416080840014992e-07,1.0832161680029983e-06,0.0,2.708040420007496e-06,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;2.708040420007e-06;0.000000000000e+00,1_hz,1,61_hz,61,301_hz,301,1_hz,1,1,61,301
st1_1_hz__st2_61_hz__st3_331_hz__st4_1_hz,5.343833159976441e-07,1.0687666319952883e-06,0.0,2.6719165799882205e-06,5,1;2;3;4;5,0.000000000000e+00;2.671916579988e-06;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,331_hz,331,1_hz,1,1,61,331
st1_1_hz__st2_61_hz__st3_361_hz__st4_1_hz,4.222396800002138e-07,8.444793600004275e-07,0.0,2.111198400001069e-06,5,1;2;3;4;5,0.000000000000e+00;2.111198400001e-06;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,361_hz,361,1_hz,1,1,61,361
st1_1_hz__st2_61_hz__st3_391_hz__st4_1_hz,8.08120363319946e-06,1.0876419809374228e-05,0.0,2.733352968599355e-05,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;1.307248848000e-05;0.000000000000e+00;2.733352968599e-05,1_hz,1,61_hz,61,391_hz,391,1_hz,1,1,61,391
st1_1_hz__st2_61_hz__st3_421_hz__st4_1_hz,3.3870811320069197e-06,6.7741622640138395e-06,0.0,1.69354056600346e-05,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.693540566003e-05,1_hz,1,61_hz,61,421_hz,421,1_hz,1,1,61,421
st1_1_hz__st2_61_hz__st3_451_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,451_hz,451,1_hz,1,1,61,451
st1_1_hz__st2_61_hz__st3_481_hz__st4_1_hz,9.789283692015762e-06,5.433397524711156e-06,0.0,1.4028414119998667e-05,5,1;2;3;4;5,7.698710340007e-06;1.396170720000e-05;1.325758680008e-05;1.402841412000e-05;0.000000000000e+00,1_hz,1,61_hz,61,481_hz,481,1_hz,1,1,61,481
st1_1_hz__st2_61_hz__st3_511_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,511_hz,511,1_hz,1,1,61,511
st1_1_hz__st2_61_hz__st3_541_hz__st4_1_hz,2.7213890759980595e-06,5.442778151996119e-06,0.0,1.3606945379990298e-05,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;1.360694537999e-05;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,541_hz,541,1_hz,1,1,61,541
st1_1_hz__st2_61_hz__st3_571_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,61_hz,61,571_hz,571,1_hz,1,1,61,571
st1_1_hz__st2_91_hz__st3_1_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,1_hz,1,1_hz,1,1,91,1
st1_1_hz__st2_91_hz__st3_31_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,31_hz,31,1_hz,1,1,91,31
st1_1_hz__st2_91_hz__st3_61_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,61_hz,61,1_hz,1,1,91,61
st1_1_hz__st2_91_hz__st3_91_hz__st4_1_hz,3.262273804798821e-06,6.524547609597642e-06,0.0,1.6311369023994105e-05,5,1;2;3;4;5,1.631136902399e-05;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,91_hz,91,1_hz,1,1,91,91
st1_1_hz__st2_91_hz__st3_121_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,121_hz,121,1_hz,1,1,91,121
st1_1_hz__st2_91_hz__st3_151_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,151_hz,151,1_hz,1,1,91,151
st1_1_hz__st2_91_hz__st3_181_hz__st4_1_hz,1.8351615600153972e-07,3.6703231200307944e-07,0.0,9.175807800076985e-07,5,1;2;3;4;5,9.175807800077e-07;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,181_hz,181,1_hz,1,1,91,181
st1_1_hz__st2_91_hz__st3_211_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,211_hz,211,1_hz,1,1,91,211
st1_1_hz__st2_91_hz__st3_241_hz__st4_1_hz,5.054041162787515e-06,6.246491049889372e-06,0.0,1.3961425193992349e-05,5,1;2;3;4;5,0.000000000000e+00;1.396142519399e-05;1.130878061995e-05;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,241_hz,241,1_hz,1,1,91,241
st1_1_hz__st2_91_hz__st3_271_hz__st4_1_hz,2.135275740012821e-06,4.270551480025642e-06,0.0,1.0676378700064105e-05,5,1;2;3;4;5,1.067637870006e-05;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,271_hz,271,1_hz,1,1,91,271
st1_1_hz__st2_91_hz__st3_301_hz__st4_1_hz,2.882180124009204e-06,5.523173151756802e-06,0.0,1.3922033940008683e-05,5,1;2;3;4;5,1.392203394001e-05;0.000000000000e+00;0.000000000000e+00;4.888666800373e-07;0.000000000000e+00,1_hz,1,91_hz,91,301_hz,301,1_hz,1,1,91,301
st1_1_hz__st2_91_hz__st3_331_hz__st4_1_hz,8.268914520104254e-07,1.6537829040208508e-06,0.0,4.134457260052127e-06,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;4.134457260052e-06,1_hz,1,91_hz,91,331_hz,331,1_hz,1,1,91,331
st1_1_hz__st2_91_hz__st3_361_hz__st4_1_hz,2.7845556119948656e-06,3.419820013380254e-06,0.0,7.363085400016733e-06,5,1;2;3;4;5,7.363085400017e-06;0.000000000000e+00;6.559692659958e-06;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,361_hz,361,1_hz,1,1,91,361
st1_1_hz__st2_91_hz__st3_391_hz__st4_1_hz,2.546920115998885e-06,5.09384023199777e-06,0.0,1.2734600579994427e-05,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.273460057999e-05;0.000000000000e+00,1_hz,1,91_hz,91,391_hz,391,1_hz,1,1,91,391
st1_1_hz__st2_91_hz__st3_421_hz__st4_1_hz,8.435263758128487e-06,1.4309715518351496e-05,0.0,3.674362539064979e-05,5,1;2;3;4;5,5.432693399993e-06;0.000000000000e+00;0.000000000000e+00;3.674362539065e-05;0.000000000000e+00,1_hz,1,91_hz,91,421_hz,421,1_hz,1,1,91,421
st1_1_hz__st2_91_hz__st3_451_hz__st4_1_hz,3.95816137200411e-06,5.14265887035321e-06,0.0,1.260943092000755e-05,5,1;2;3;4;5,0.000000000000e+00;7.181375940013e-06;0.000000000000e+00;0.000000000000e+00;1.260943092001e-05,1_hz,1,91_hz,91,451_hz,451,1_hz,1,1,91,451
st1_1_hz__st2_91_hz__st3_481_hz__st4_1_hz,5.152832496016502e-07,1.0305664992033007e-06,0.0,2.576416248008251e-06,5,1;2;3;4;5,2.576416248008e-06;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,481_hz,481,1_hz,1,1,91,481
st1_1_hz__st2_91_hz__st3_511_hz__st4_1_hz,9.369127436400748e-06,7.724294891029028e-06,0.0,1.734765273000132e-05,5,1;2;3;4;5,0.000000000000e+00;1.396803006000e-05;1.734765273000e-05;0.000000000000e+00;1.552995439201e-05,1_hz,1,91_hz,91,511_hz,511,1_hz,1,1,91,511
st1_1_hz__st2_91_hz__st3_541_hz__st4_1_hz,2.9880334511971786e-06,4.47330950151574e-06,0.0,1.1537632656013696e-05,5,1;2;3;4;5,0.000000000000e+00;3.402534599972e-06;1.153763265601e-05;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,541_hz,541,1_hz,1,1,91,541
st1_1_hz__st2_91_hz__st3_571_hz__st4_1_hz,2.2863016799967717e-06,4.337292981567159e-06,0.0,1.095296418003322e-05,5,1;2;3;4;5,1.095296418003e-05;0.000000000000e+00;4.785442199506e-07;0.000000000000e+00;0.000000000000e+00,1_hz,1,91_hz,91,571_hz,571,1_hz,1,1,91,571
st1_1_hz__st2_121_hz__st3_1_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,121_hz,121,1_hz,1,1_hz,1,1,121,1
st1_1_hz__st2_121_hz__st3_31_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,121_hz,121,31_hz,31,1_hz,1,1,121,31
st1_1_hz__st2_121_hz__st3_61_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,121_hz,121,61_hz,61,1_hz,1,1,121,61
st1_1_hz__st2_121_hz__st3_91_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,121_hz,121,91_hz,91,1_hz,1,1,121,91
st1_1_hz__st2_121_hz__st3_121_hz__st4_1_hz,1.0027365839859747e-06,2.00547316797195e-06,0.0,5.013682919929874e-06,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;5.013682919930e-06;0.000000000000e+00;0.000000000000e+00,1_hz,1,121_hz,121,121_hz,121,1_hz,1,1,121,121
st1_1_hz__st2_121_hz__st3_151_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,121_hz,121,151_hz,151,1_hz,1,1,121,151
st1_1_hz__st2_121_hz__st3_181_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,121_hz,121,181_hz,181,1_hz,1,1,121,181
st1_1_hz__st2_121_hz__st3_211_hz__st4_1_hz,0.0,0.0,0.0,0.0,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00,1_hz,1,121_hz,121,211_hz,211,1_hz,1,1,121,211
st1_1_hz__st2_121_hz__st3_241_hz__st4_1_hz,2.119258778400801e-06,4.238517556801602e-06,0.0,1.0596293892004006e-05,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.059629389200e-05;0.000000000000e+00,1_hz,1,121_hz,121,241_hz,241,1_hz,1,1,121,241
st1_1_hz__st2_121_hz__st3_271_hz__st4_1_hz,2.9210916744022707e-06,3.657925901907478e-06,0.0,8.508192840012141e-06,5,1;2;3;4;5,0.000000000000e+00;0.000000000000e+00;8.508192840012e-06;0.000000000000e+00;6.097265531999e-06,1_hz,1,121_hz,121,271_hz,271,1_hz,1,1,121,271
