t,v
0.0,0.0
0.0010536583414475584,0.0
0.0010536583414475584,1.8
0.0011536583414475585,1.8
0.0011536583414475585,0.0
0.0021571651292637915,0.0
0.0021571651292637915,1.8
0.0022571651292637913,1.8
0.0022571651292637913,0.0
0.0027858132138617966,0.0
0.0027858132138617966,1.8
0.0028858132138617964,1.8
0.0028858132138617964,0.0
0.0035356183061804915,0.0
0.0035356183061804915,1.8
0.0036356183061804913,1.8
0.0036356183061804913,0.0
0.003979997047888072,0.0
0.003979997047888072,1.8
0.004079997047888072,1.8
0.004079997047888072,0.0
0.004749712133124693,0.0
0.004749712133124693,1.8
0.0048497121331246935,1.8
0.0048497121331246935,0.0
0.005013760020970341,0.0
0.005013760020970341,1.8
0.005113760020970341,1.8
0.005113760020970341,0.0
0.006807687299546256,0.0
0.006807687299546256,1.8
0.006907687299546256,1.8
0.006907687299546256,0.0
0.008726987358172848,0.0
0.008726987358172848,1.8
0.008826987358172847,1.8
0.008826987358172847,0.0
0.01,0.0
